Season,Season_Start,End,Offseason_Start
2000-01,10/31/2000,6/15/2001,6/20/2000
2001-02,10/30/2001,6/12/2002,6/16/2001
2002-03,10/29/2002,6/15/2003,6/13/2002
2003-04,10/28/2003,6/15/2004,6/16/2003
2004-05,11/2/2004,6/23/2005,6/16/2004
2005-06,11/5/2005,6/20/2006,6/24/2005
2006-07,10/31/2006,6/14/2007,6/21/2006
2007-08,10/30/2007,6/17/2008,6/15/2007
2008-09,10/28/2008,6/14/2009,6/18/2008
2009-10,10/27/2009,6/17/2010,6/15/2009
2010-11,10/26/2010,6/12/2011,6/18/2010
2011-12,12/25/2011,6/21/2012,6/13/2011
2012-13,10/30/2012,6/20/2013,6/22/2012
2013-14,10/29/2013,6/15/2014,6/21/2013
2014-15,10/28/2014,6/16/2015,6/16/2014
2015-16,10/27/2015,6/19/2016,6/17/2015
2016-17,10/25/2016,6/12/2017,6/20/2016
2017-18,10/17/2017,6/8/2018,6/13/2017
2018-19,10/16/2018,6/13/2019,6/9/2018
2019-20,10/22/2019,10/11/2020,6/14/2019
