Date,Team,Acquired,Relinquished,Notes
2000-02-16,76ers,. Toni Kukoc,. Bruce Bowen. Larry Hughes. Billy Owens,"3-team trade with Bulls, Warriors"
2000-02-24,76ers,. Ira Bowman,,signed free agent to a 10-day contract
2000-03-06,76ers,. Ira Bowman,,re-signed to a second 10-day contract
2000-03-15,76ers,. Ira Bowman,,re-signed for the remainder of the season
2000-03-24,76ers,. Antonio Lang,,signed free agent to a 10-day contract
2000-03-24,76ers,. Larry Brown,,re-signed as head coach to a reported 5-year contract extension through 2004-05
2000-04-03,76ers,. Antonio Lang,,re-signed for the remainder of the season
2000-04-05,76ers,. Billy King,,re-signed as GM to a multi-year contract extension
2000-06-28,76ers,. Craig Claxton / Speedy Claxton,,2000 NBA draft first round pick (#20 overall)
2000-06-28,76ers,. Mark Karcher,,2000 NBA draft second round pick (#48 overall)
2000-06-29,76ers,. Aaron McKie,,team exercised $1.8M contract option for 2000-01 (date 09-29 per RealGM)
2000-07-13,76ers,. Craig Claxton / Speedy Claxton,,"signed first round pick to a 3-year, $3M contract with a fourth year, $1.1M team option"
2000-07-13,76ers,. Mark Karcher,,signed second round pick
2000-08-16,76ers,. Toni Kukoc,,"re-signed free agent to a 4-year, $28M contract"
2000-08-16,76ers,. Jermaine Jackson,,signed free agent (from Pistons)
2000-09-29,76ers,. Todd MacCulloch,,team exercised $423.5K contract option for 2000-01
2000-09-29,76ers,. Tyrone Hill,,team added a player option to contract for 2001-02
2000-10-01,76ers,,. Antonio Lang,lost free agent (to Kings)
2000-10-02,76ers,. Ademola Okulaja,,signed free agent to a $317K contract
2000-10-02,76ers,. Darnell Robinson,,signed free agent to a $317K contract
2000-10-02,76ers,. Derek Hood,,signed free agent to a $317K contract
2000-10-02,76ers,. Juan Sanchez / Pepe Sanchez,,signed free agent to a $317K contract
2000-10-02,76ers,,. Ira Bowman,lost free agent (to Jazz)
2000-10-08,76ers,,. Darnell Robinson,waived
2000-10-18,76ers,,. Mark Karcher,waived
2000-10-26,76ers,,. Derek Hood,waived
2000-10-28,76ers,. Vernon Maxwell,,"signed free agent to a $1M, non-guaranteed contract"
2000-10-29,76ers,,. Jermaine Jackson,waived
2000-12-19,76ers,,. Ademola Okulaja,waived
2000-12-22,76ers,,. Vernon Maxwell,waived
2000-12-22,76ers,. Kevin Ollie,,signed free agent to a $400K contract
2000-12-22,76ers,. Rodney Buford,,signed free agent to a $300K contract
2001-02-22,76ers,. Dikembe Mutombo. Roshown McLeod,. Toni Kukoc. Theo Ratliff. Nazr Mohammed. Juan Sanchez / Pepe Sanchez,trade with Hawks
2001-03-07,76ers,. Anthony Miller / Pig Miller,,signed free agent to a 10-day contract
2001-03-15,76ers,,. Anthony Miller / Pig Miller,waived
2001-03-15,76ers,. Juan Sanchez / Pepe Sanchez,,signed free agent to a $300K contract for the remainder of the season
2001-04-06,76ers,. Raja Bell,,signed free agent to a 10-day contract
2001-04-16,76ers,. Raja Bell,,re-signed for the remainder of the season with a team option for next season
